ID;REFERENCIA;NOMBRE;MARCA;REF_FABRICANTE;TIPO;FAMILIA;UNIDAD;COSTE;PVP;ACTIVO;OBSERVACIONES
1;SHY-0001;Shelly 1 Mini Gen3;Shelly;1 Mini Gen3;Hardware;Relés y control;Unidad;10,00;11,76;SI;Tarifa instalador junio 2026 (dto 15%)
2;SHY-0002;Shelly 1 Mini Gen4;Shelly;1 Mini Gen4;Hardware;Relés y control;Unidad;14,28;16,80;SI;Tarifa instalador junio 2026 (dto 15%)
3;SHY-0003;Shelly 1 Gen3;Shelly;1 Gen3;Hardware;Relés y control;Unidad;10,00;11,76;SI;Tarifa instalador junio 2026 (dto 15%)
4;SHY-0004;Shelly 1 Gen4;Shelly;1 Gen4;Hardware;Relés y control;Unidad;14,28;16,80;SI;Tarifa instalador junio 2026 (dto 15%)
5;SHY-0005;Shelly 1PM Gen3;Shelly;1PM Gen3;Hardware;Relés y control;Unidad;10,71;12,60;SI;Tarifa instalador junio 2026 (dto 15%)
6;SHY-0006;Shelly 1PM Gen4;Shelly;1PM Gen4;Hardware;Relés y control;Unidad;15,71;18,48;SI;Tarifa instalador junio 2026 (dto 15%)
7;SHY-0007;Shelly 2PM Gen3;Shelly;2PM Gen3;Hardware;Relés y control;Unidad;14,28;16,80;SI;Tarifa instalador junio 2026 (dto 15%)
8;SHY-0008;Shelly 2PM Gen4;Shelly;2PM Gen4;Hardware;Relés y control;Unidad;21,42;25,20;SI;Tarifa instalador junio 2026 (dto 15%)
9;SHY-0009;Shelly Pro RGBWW PM;Shelly;Pro RGBWW PM;Hardware;Iluminación;Unidad;45,79;57,24;SI;Tarifa instalador junio 2026 (dto 20%)
10;SHY-0010;Shelly EM Gen3;Shelly;EM Gen3;Hardware;Enchufes y consumo;Unidad;38,98;48,73;SI;Tarifa instalador junio 2026 (dto 20%)
11;SHY-0011;Shelly Presence Gen4 Black;Shelly;Presence Gen4 Black;Hardware;Sensores;Unidad;62,10;69,00;SI;Tarifa instalador junio 2026 (dto 10%)
12;SHY-0012;Shelly Presence Gen4 White;Shelly;Presence Gen4 White;Hardware;Sensores;Unidad;62,10;69,00;SI;Tarifa instalador junio 2026 (dto 10%)
13;SHY-0013;Shelly Dimmer Gen4;Shelly;Dimmer Gen4;Hardware;Iluminación;Unidad;28,56;33,60;SI;Tarifa instalador junio 2026 (dto 15%)
14;SHY-0014;Shelly Plus Uni- Implante con 2 micro relés;Shelly;Plus Uni- Implante con 2 micro relés;Hardware;Relés y control;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
15;SHY-0015;Relé Shelly EM 50A -medidor de consumo Wi-Fi;Shelly;EM 50A -medidor de consumo Wi-Fi;Hardware;Enchufes y consumo;Unidad;39,92;49,90;SI;Tarifa instalador junio 2026 (dto 20%)
16;SHY-0016;Shelly Pro Dimmer 2PM;Shelly;Pro Dimmer 2PM;Hardware;Iluminación;Unidad;57,26;71,57;SI;Tarifa instalador junio 2026 (dto 20%)
17;SHY-0017;Shelly Pro Dimmer 1PM;Shelly;Pro Dimmer 1PM;Hardware;Iluminación;Unidad;47,04;58,80;SI;Tarifa instalador junio 2026 (dto 20%)
18;SHY-0018;Shelly Pro Dimmer 0/1-10V PM;Shelly;Pro Dimmer 0/1-10V PM;Hardware;Iluminación;Unidad;54,89;68,61;SI;Tarifa instalador junio 2026 (dto 20%)
19;SHY-0019;Rele Shelly Pro 1;Shelly;Pro 1;Hardware;Relés y control;Unidad;39,63;49,54;SI;Tarifa instalador junio 2026 (dto 20%)
20;SHY-0020;Rele Shelly Pro 2;Shelly;Pro 2;Hardware;Relés y control;Unidad;46,81;58,51;SI;Tarifa instalador junio 2026 (dto 20%)
21;SHY-0021;Rele Shelly Pro 1 PM;Shelly;Pro 1 PM;Hardware;Enchufes y consumo;Unidad;50,53;63,16;SI;Tarifa instalador junio 2026 (dto 20%)
22;SHY-0022;Shelly pro 2PM;Shelly;pro 2PM;Hardware;Relés y control;Unidad;66,75;83,44;SI;Tarifa instalador junio 2026 (dto 20%)
23;SHY-0023;Rele Shelly Pro 4PM;Shelly;Pro 4PM;Hardware;Relés y control;Unidad;78,32;97,90;SI;Tarifa instalador junio 2026 (dto 20%)
24;SHY-0024;Shelly Pro EM - 50;Shelly;Pro EM - 50;Hardware;Enchufes y consumo;Unidad;67,92;84,90;SI;Tarifa instalador junio 2026 (dto 20%)
25;SHY-0025;Shelly Pro 3EM - 120A Contador trifásico;Shelly;Pro 3EM - 120A Contador trifásico;Hardware;Enchufes y consumo;Unidad;105,64;132,05;SI;Tarifa instalador junio 2026 (dto 20%)
26;SHY-0026;Shelly Pro 3EM 120A v2;Shelly;Pro 3EM 120A v2;Hardware;Enchufes y consumo;Unidad;112,24;132,05;SI;Tarifa instalador junio 2026 (dto 15%)
27;SHY-0027;Shelly Pro 3EM-400A;Shelly;Pro 3EM-400A;Hardware;Enchufes y consumo;Unidad;183,20;229,00;SI;Tarifa instalador junio 2026 (dto 20%)
28;SHY-0028;Shelly Pro 3EM-3CT63;Shelly;Pro 3EM-3CT63;Hardware;Enchufes y consumo;Unidad;87,20;109,00;SI;Tarifa instalador junio 2026 (dto 20%)
29;SHY-0029;Shelly Pro 3EM Switch Add-On;Shelly;Pro 3EM Switch Add-On;Hardware;Enchufes y consumo;Unidad;19,88;24,85;SI;Tarifa instalador junio 2026 (dto 20%)
30;SHY-0030;Shelly 120A Current Transf. Pro 3EM;Shelly;120A Current Transf. Pro 3EM;Hardware;Enchufes y consumo;Unidad;12,33;14,50;SI;Tarifa instalador junio 2026 (dto 15%)
31;SHY-0031;Shelly 400A Current Transf. Pro 3EM-400;Shelly;400A Current Transf. Pro 3EM-400;Hardware;Enchufes y consumo;Unidad;42,42;49,90;SI;Tarifa instalador junio 2026 (dto 15%)
32;SHY-0032;Shelly Pro LoRa Add-on;Shelly;Pro LoRa Add-on;Hardware;Red y conectividad;Unidad;46,67;54,90;SI;Tarifa instalador junio 2026 (dto 15%)
33;SHY-0033;V2C PINZA ADICIONAL FOTOVOLTAICA 100A;;;Hardware;Enchufes y consumo;Unidad;22,33;26,27;SI;Tarifa instalador junio 2026 (dto 15%)
